crime_type,category,date_reported,time_reported,zone,location_name,latitude,longitude,status,severity,weapon_involved,victim_age,victim_gender,day_of_week,hour_of_day,description
Identity Theft,Cybercrime,2026-03-13,03:06:43,Zone 6,Central Market,13.121207,80.277959,Solved,Medium,0,29,Male,Friday,3,Identity Theft reported near Hilltop Avenue.
Drug Possession,Narcotics,2025-08-17,05:28:37,Zone 5,Old Town Square,13.047211,80.329788,Solved,Medium,0,25,Male,Sunday,5,Drug Possession reported near Industrial Estate.
Vehicle Theft,Theft,2026-01-13,14:51:02,Zone 1,Harbor Front,13.119457,80.276496,Pending,Critical,0,55,Female,Tuesday,14,Vehicle Theft reported near Greenfield Sector 7.
Burglary,Theft,2026-02-18,18:55:06,Zone 2,Harbor Front,13.06352,80.263246,Solved,High,0,33,Other,Wednesday,18,Burglary reported near Harbor Front.
Online Fraud,Cybercrime,2025-10-16,03:24:17,Zone 6,MG Road Junction,13.161024,80.2931,Pending,Medium,0,30,Male,Thursday,3,Online Fraud reported near Industrial Estate.
Robbery,Violent Crime,2025-09-28,10:31:25,Zone 4,Hilltop Avenue,13.144249,80.293556,Pending,Medium,0,32,Other,Sunday,10,Robbery reported near Greenfield Sector 7.
Public Intoxication,Public Order,2026-03-26,16:05:48,Zone 4,Central Market,13.010239,80.208244,Solved,Medium,0,40,Female,Thursday,16,Public Intoxication reported near Greenfield Sector 7.
Assault,Violent Crime,2025-08-02,20:34:48,Zone 4,University Gate,13.045392,80.293254,Pending,Medium,1,72,Other,Saturday,20,Assault reported near Old Town Square.
Drug Possession,Narcotics,2025-08-30,21:32:38,Zone 5,MG Road Junction,13.034526,80.250526,Under Investigation,Low,1,54,Female,Saturday,21,Drug Possession reported near Railway Station Rd.
Shoplifting,Theft,2026-02-09,02:56:36,Zone 1,Riverside Park,13.154212,80.204405,Pending,Medium,0,24,Other,Monday,2,Shoplifting reported near Railway Station Rd.
Drug Trafficking,Narcotics,2026-03-29,19:44:12,Zone 5,Railway Station Rd,13.116772,80.254539,Under Investigation,Medium,0,23,Male,Sunday,19,Drug Trafficking reported near North Bus Depot.
Burglary,Theft,2025-09-18,00:45:40,Zone 1,Old Town Square,13.01212,80.201484,Pending,Low,0,58,Female,Thursday,0,Burglary reported near North Bus Depot.
Drug Trafficking,Narcotics,2026-03-13,20:12:06,Zone 5,Harbor Front,13.018209,80.259668,Pending,Low,0,57,Other,Friday,20,Drug Trafficking reported near Central Market.
Shoplifting,Theft,2026-05-22,07:34:28,Zone 1,Hilltop Avenue,13.025129,80.220058,Solved,Medium,1,22,Male,Friday,7,Shoplifting reported near Harbor Front.
Burglary,Theft,2026-04-21,12:13:55,Zone 5,Railway Station Rd,13.066866,80.200082,Solved,Low,1,34,Female,Tuesday,12,Burglary reported near University Gate.
Drug Trafficking,Narcotics,2026-04-28,03:03:37,Zone 6,Hilltop Avenue,13.120418,80.200453,Pending,Low,0,26,Male,Tuesday,3,Drug Trafficking reported near Hilltop Avenue.
